Time,OD,Strain,Environment
0,0.146699995,TUB0,LB
0.178,0.146599993,TUB0,LB
0.356,0.146300003,TUB0,LB
0.534,0.147400007,TUB0,LB
0.712,0.146599993,TUB0,LB
0.89,0.147400007,TUB0,LB
1.068,0.147200003,TUB0,LB
1.246,0.146200001,TUB0,LB
1.424,0.147499993,TUB0,LB
1.602,0.147200003,TUB0,LB
1.78,0.147,TUB0,LB
1.958,0.148300007,TUB0,LB
2.136027778,0.148399994,TUB0,LB
2.314027778,0.148399994,TUB0,LB
2.492027778,0.150000006,TUB0,LB
2.670027778,0.150199994,TUB0,LB
2.848027778,0.151099995,TUB0,LB
3.026027778,0.153699994,TUB0,LB
3.204027778,0.155200005,TUB0,LB
3.382027778,0.157199994,TUB0,LB
3.560027778,0.162,TUB0,LB
3.738027778,0.165900007,TUB0,LB
3.916027778,0.171599999,TUB0,LB
4.094027778,0.181099996,TUB0,LB
4.272027778,0.191599995,TUB0,LB
4.450027778,0.206699997,TUB0,LB
4.628027778,0.226600006,TUB0,LB
4.806027778,0.246299997,TUB0,LB
4.984027778,0.274599999,TUB0,LB
5.162027778,0.301400006,TUB0,LB
5.340027778,0.340200007,TUB0,LB
5.518055556,0.382499993,TUB0,LB
5.696027778,0.411199987,TUB0,LB
5.874027778,0.412099987,TUB0,LB
6.052055556,0.425099999,TUB0,LB
6.230027778,0.437599987,TUB0,LB
6.408055556,0.451700002,TUB0,LB
6.586055556,0.461299986,TUB0,LB
6.764055556,0.472200006,TUB0,LB
6.942027778,0.475899994,TUB0,LB
7.120055556,0.475199997,TUB0,LB
7.298055556,0.488700002,TUB0,LB
7.476055556,0.489600003,TUB0,LB
7.654055556,0.505200028,TUB0,LB
7.832055556,0.522800028,TUB0,LB
8.010055556,0.541100025,TUB0,LB
8.188055556,0.553799987,TUB0,LB
8.366055556,0.566699982,TUB0,LB
8.544055556,0.585399985,TUB0,LB
8.722055556,0.58950001,TUB0,LB
8.900055556,0.596400023,TUB0,LB
9.078055556,0.5995,TUB0,LB
9.256055556,0.601400018,TUB0,LB
9.434055556,0.599099994,TUB0,LB
9.612055556,0.596899986,TUB0,LB
9.790055556,0.586700022,TUB0,LB
9.968055556,0.584500015,TUB0,LB
10.14605556,0.585300028,TUB0,LB
10.32408333,0.577199996,TUB0,LB
10.50208333,0.575699985,TUB0,LB
10.68008333,0.573400021,TUB0,LB
10.85808333,0.563799977,TUB0,LB
11.03608333,0.554199994,TUB0,LB
11.21408333,0.55309999,TUB0,LB
11.39208333,0.5449,TUB0,LB
11.57008333,0.540000021,TUB0,LB
11.74808333,0.538999975,TUB0,LB
11.92608333,0.536300004,TUB0,LB
12.10408333,0.537599981,TUB0,LB
12.28208333,0.539200008,TUB0,LB
12.46008333,0.5352,TUB0,LB
12.63811111,0.523599982,TUB0,LB
12.81611111,0.51639998,TUB0,LB
12.99411111,0.514299989,TUB0,LB
13.17211111,0.513599992,TUB0,LB
13.35011111,0.509299994,TUB0,LB
13.52811111,0.512199998,TUB0,LB
13.70611111,0.51730001,TUB0,LB
13.88411111,0.516499996,TUB0,LB
14.06211111,0.508000016,TUB0,LB
14.24011111,0.505100012,TUB0,LB
14.41811111,0.506099999,TUB0,LB
